GENEID	GeneSymbol	log2FoldChange	adj_pvalue	pvalue	Comparison
ENSMUSG00000000325	Arvcf	-0.38747548808413335	1	0.2877806737768164	Infected_vs_Non_Infected
ENSMUSG00000000326	Comt	8.53881413671852e-4	1	0.993962972517616	Infected_vs_Non_Infected
ENSMUSG00000000339	Rtca	-0.2426712319256822	0.30102053502195425	0.038284738755878116	Infected_vs_Non_Infected
ENSMUSG00000000340	Dbt	0.23683203073818718	0.6936786610103356	0.2936475265582979	Infected_vs_Non_Infected
ENSMUSG00000000346	Dazap2	-7.122694913233505e-4	0.9277002474315503	0.9952905569493238	Infected_vs_Non_Infected
ENSMUSG00000000355	Mcts1	-0.10177426123938477	1	0.6691357707306028	Infected_vs_Non_Infected
ENSMUSG00000000359	Rem1	0.33388350810377293	1	0.4306319973951909	Infected_vs_Non_Infected
ENSMUSG00000000365	Rnf17	0.22016481690633394	1	0.8062153315510957	Infected_vs_Non_Infected
ENSMUSG00000000374	Trappc10	-0.12006213909539033	0.6506539663604792	0.24417042518453275	Infected_vs_Non_Infected
ENSMUSG00000000378	Ccm2	0.06725672562631242	0.8679228944736602	0.5893070283434696	Infected_vs_Non_Infected
ENSMUSG00000000381	Wap	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000000384	Tbrg4	-0.02452538772225845	0.9303791617034776	0.8160822509451213	Infected_vs_Non_Infected
ENSMUSG00000000385	Tmprss2	-0.24977005352317797	0.29218438949497455	0.03617705342763914	Infected_vs_Non_Infected
ENSMUSG00000000386	Mx1	1.9313291441857388	0.06287938713458249	0.0021222335712382033	Infected_vs_Non_Infected
ENSMUSG00000000392	Fap	1.6722314435567331	1	0.1946843428799238	Infected_vs_Non_Infected
ENSMUSG00000000394	Gcg	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000000399	Ndufa9	-0.12366077177102913	0.48939190047276393	0.1246415766226843	Infected_vs_Non_Infected
ENSMUSG00000000402	Egfl6	0.9389276283932783	1	0.7330804293000236	Infected_vs_Non_Infected
ENSMUSG00000000409	Lck	0.2863337162010046	1	0.7312972226752776	Infected_vs_Non_Infected
ENSMUSG00000000411	Tssk3	-1.6262295790790624	1	0.6257075053534713	Infected_vs_Non_Infected
ENSMUSG00000000416	Cttnbp2	-0.20857635256598497	1	0.6530110962936131	Infected_vs_Non_Infected
ENSMUSG00000000420	Galnt1	0.10572106824971414	0.7475970530813597	0.3874105929518417	Infected_vs_Non_Infected
ENSMUSG00000000439	Mkrn2	-0.07574981637740488	1	0.5773495180947702	Infected_vs_Non_Infected
ENSMUSG00000000440	Pparg	-0.04790872718283137	0.8451959217307545	0.7432235162623408	Infected_vs_Non_Infected
ENSMUSG00000000441	Raf1	-0.03032192608529514	0.8694701957612927	0.7810333536523608	Infected_vs_Non_Infected
ENSMUSG00000000486	Sept1	0.8364241524785471	1	0.05773217288429351	Infected_vs_Non_Infected
ENSMUSG00000000489	Pdgfb	-0.23111236924947898	0.9797601581668017	0.24329445552019918	Infected_vs_Non_Infected
ENSMUSG00000000530	Acvrl1	0.07977766594964199	1	0.6154801301492465	Infected_vs_Non_Infected
ENSMUSG00000000531	Grasp	0.6877734572293243	1	0.08386107610604539	Infected_vs_Non_Infected
ENSMUSG00000000532	Acvr1b	0.1373985683582814	0.5564064129746527	0.1798283231328378	Infected_vs_Non_Infected
ENSMUSG00000000538	Tom1l2	-0.029809532614415435	0.9522486490485187	0.809406979944018	Infected_vs_Non_Infected
ENSMUSG00000000544	Gpa33	-1.230746821861958	0.49471016752570407	0.12120458883583536	Infected_vs_Non_Infected
ENSMUSG00000000552	Zfp385a	0.2142842106223581	1	0.4733878115222126	Infected_vs_Non_Infected
ENSMUSG00000000555	Itga5	-0.5154593774418015	0.42179985234543754	0.022923798759216244	Infected_vs_Non_Infected
ENSMUSG00000000560	Gabra2	-0.5324137653384086	1	0.8584900697374573	Infected_vs_Non_Infected
ENSMUSG00000000561	Wdr77	0.25628929400559824	1	0.3209346059257233	Infected_vs_Non_Infected
ENSMUSG00000000562	Adora3	1.0866733902835464	1	0.5034693588104602	Infected_vs_Non_Infected
ENSMUSG00000000563	Atp5f1	-0.12723975836678472	0.3797857655918151	0.06721157218010029	Infected_vs_Non_Infected
ENSMUSG00000000567	Sox9	-0.06724988782502651	0.9152066830509472	0.7754337466767749	Infected_vs_Non_Infected
ENSMUSG00000000568	Hnrnpd	0.1514186157901616	0.49213034440293596	0.1564057957616323	Infected_vs_Non_Infected
ENSMUSG00000000579	Dynlt1c	-0.42918273475540886	1	0.24884317869504588	Infected_vs_Non_Infected
ENSMUSG00000000581	C1d	0.20152279732456127	0.7818534321509104	0.11761168106207416	Infected_vs_Non_Infected
ENSMUSG00000000594	Gm2a	-0.196319659838307	0.8598778248680251	0.34165426184389214	Infected_vs_Non_Infected
ENSMUSG00000000600	Krit1	0.07271040865386409	1	0.550591826457508	Infected_vs_Non_Infected
ENSMUSG00000000605	Clcn4-2	-0.14420671076910077	0.6293913338330562	0.23968100845967374	Infected_vs_Non_Infected
ENSMUSG00000000617	Grm6	-1.1099193785326944	1	0.7405881384782772	Infected_vs_Non_Infected
ENSMUSG00000000627	Sema4f	-0.7290624026523722	1	0.678896567965732	Infected_vs_Non_Infected
ENSMUSG00000000628	Hk2	0.3886121108846043	0.37033550120772474	0.0715256074235295	Infected_vs_Non_Infected
ENSMUSG00000000631	Myo18a	-0.028413353600222423	0.9209063414051324	0.8201775173421694	Infected_vs_Non_Infected
ENSMUSG00000000632	Sez6	-0.25125275356310395	1	0.7616931302932431	Infected_vs_Non_Infected
ENSMUSG00000000673	Haao	0.29658270306403045	1	0.89741312982009	Infected_vs_Non_Infected
ENSMUSG00000000682	Cd52	0.22519098664571016	1	0.5302870128002547	Infected_vs_Non_Infected
ENSMUSG00000000686	Abhd15	0.1397770511997442	1	0.6836719966190514	Infected_vs_Non_Infected
ENSMUSG00000000690	Hoxb6	0.48591345624380045	1	0.4119996712627202	Infected_vs_Non_Infected
ENSMUSG00000000693	Loxl3	-0.3819853378212662	0.9376410945957363	0.2110492661347078	Infected_vs_Non_Infected
ENSMUSG00000000706	Btn1a1	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000000708	Kat2b	0.24193530639851962	0.41342760322783156	0.10173857106282719	Infected_vs_Non_Infected
ENSMUSG00000000711	Rab5b	-0.04453198528531334	0.8859111867251925	0.7100632982793746	Infected_vs_Non_Infected
ENSMUSG00000000730	Dnmt3l	0.36014658418148526	1	0.8350011612921553	Infected_vs_Non_Infected
ENSMUSG00000000731	Aire	0.17846039256345111	1	0.9225444032745889	Infected_vs_Non_Infected
ENSMUSG00000000732	Icosl	-0.06656685033995446	1	0.6681887144270515	Infected_vs_Non_Infected
ENSMUSG00000000738	Spg7	0.0446043064209161	0.8676925146633516	0.6302322197230703	Infected_vs_Non_Infected
ENSMUSG00000000739	Sult5a1	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000000740	Rpl13	-0.2714873023272236	0.2059077519264897	0.01683198496484248	Infected_vs_Non_Infected
ENSMUSG00000000743	Chmp1a	-0.03481702596411568	0.919087455474685	0.7851936147400518	Infected_vs_Non_Infected
ENSMUSG00000000751	Rpa1	0.06173232518456152	0.8707537346894694	0.6393293772211305	Infected_vs_Non_Infected
ENSMUSG00000000753	Serpinf1	0.34608463486987107	1	0.43214705100986744	Infected_vs_Non_Infected
ENSMUSG00000000759	Tubgcp3	-0.08913824957377389	1	0.5390601604334477	Infected_vs_Non_Infected
ENSMUSG00000000776	Polr3d	-0.14476809427377332	0.8442237075393755	0.32561498576904174	Infected_vs_Non_Infected
ENSMUSG00000000782	Tcf7	1.1074870086300386	1	0.009918055104635597	Infected_vs_Non_Infected
ENSMUSG00000000787	Ddx3x	-0.16418265605794477	0.46356250661192716	0.10175671904784615	Infected_vs_Non_Infected
ENSMUSG00000000791	Il12rb1	1.150193100500456	1	0.2166248352797328	Infected_vs_Non_Infected
ENSMUSG00000000792	Slc5a5	0.4679849510309076	0.37343018642142994	0.06392072791263045	Infected_vs_Non_Infected
ENSMUSG00000000794	Kcnn3	0.5269442177110442	0.49259024093151255	0.03972602248653585	Infected_vs_Non_Infected
ENSMUSG00000000804	Usp32	0.18263492654728558	0.4879900333814388	0.12375060850429187	Infected_vs_Non_Infected
ENSMUSG00000000805	Car4	-0.0751742941244232	1	0.7534561338482122	Infected_vs_Non_Infected
ENSMUSG00000000811	Txnrd3	-0.2985397876877851	0.6996259949493525	0.1554647784848167	Infected_vs_Non_Infected
ENSMUSG00000000817	Fasl	0.8578144095468123	1	0.7360081866169155	Infected_vs_Non_Infected
ENSMUSG00000000823	Znf512b	0.0647691297520655	1	0.6213792096158384	Infected_vs_Non_Infected
ENSMUSG00000000826	Dnajc5	0.015688420828096097	0.9537336398918228	0.8711920998927166	Infected_vs_Non_Infected
ENSMUSG00000000827	Tpd52l2	-0.22957300806650896	0.41411986665310646	0.07779972580077771	Infected_vs_Non_Infected
ENSMUSG00000000838	Fmr1	-7.143918023629089e-5	0.994860957008462	0.9994911368329156	Infected_vs_Non_Infected
ENSMUSG00000000861	Bcl11a	0.2828942669506983	0.6853959768629866	0.14499968516929515	Infected_vs_Non_Infected
ENSMUSG00000000869	Il4	1.4877289134174354	1	0.6564547789138293	Infected_vs_Non_Infected
ENSMUSG00000000876	Pxmp4	-0.03713787172911522	0.792603175758538	0.6930480620675414	Infected_vs_Non_Infected
ENSMUSG00000000881	Dlg3	-0.21300216627824914	0.6342477531436713	0.16794536961553178	Infected_vs_Non_Infected
ENSMUSG00000000884	Gnb1l	0.20927191742827003	1	0.6424088549275175	Infected_vs_Non_Infected
ENSMUSG00000000889	Dbh	0.4073696642731973	1	0.8751575807859009	Infected_vs_Non_Infected
ENSMUSG00000000901	Mmp11	0.3952022050437792	1	0.4390051940146502	Infected_vs_Non_Infected
ENSMUSG00000000902	Smarcb1	-0.021764284909802555	0.9832800060865731	0.8566245878770891	Infected_vs_Non_Infected
ENSMUSG00000000903	Vpreb3	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000000915	Hip1r	-0.16215474306097188	0.5021421218338329	0.16772829476287165	Infected_vs_Non_Infected
ENSMUSG00000000916	Nsun5	-0.11361269401245168	1	0.6357904910829646	Infected_vs_Non_Infected
ENSMUSG00000000934	Top1mt	0.13239552906110758	1	0.663918214735582	Infected_vs_Non_Infected
ENSMUSG00000000942	Hoxa4	0.2017250239461328	1	0.7853718620037715	Infected_vs_Non_Infected
ENSMUSG00000000948	Gm38393	-0.272155551803349	1	0.6786948983165557	Infected_vs_Non_Infected
ENSMUSG00000000957	Mmp14	0.6747870700246724	8.689191171007392e-4	3.686818361419102e-7	Infected_vs_Non_Infected
ENSMUSG00000000958	Slc7a7	0.23630774421639394	1	0.5739862575800136	Infected_vs_Non_Infected
ENSMUSG00000000959	Oxa1l	0.11554926691782343	0.8401574129223947	0.32129202459036915	Infected_vs_Non_Infected
ENSMUSG00000000976	Heatr6	0.05355374518167187	1	0.7291062580826992	Infected_vs_Non_Infected
ENSMUSG00000000982	Ccl3	1.5869752922063844	1	0.17088334956380039	Infected_vs_Non_Infected
ENSMUSG00000001016	Ilf2	0.37083297626717204	0.48791351071791944	0.05511467475301017	Infected_vs_Non_Infected
ENSMUSG00000001017	Chtop	-0.06184049760668058	0.8366768306306533	0.5161933190113928	Infected_vs_Non_Infected
ENSMUSG00000001018	Snapin	0.37138909671503467	0.6253342824698706	0.06469561436643312	Infected_vs_Non_Infected
ENSMUSG00000001020	S100a4	0.1938642376389256	1	0.850809281872655	Infected_vs_Non_Infected
ENSMUSG00000001021	S100a3	-0.5772447742357075	1	0.5494691815739663	Infected_vs_Non_Infected
ENSMUSG00000001023	S100a5	0.08435774654502139	1	0.8957890908531008	Infected_vs_Non_Infected
ENSMUSG00000001025	S100a6	-0.7445710102396742	0.13873172815795265	0.010034322491540975	Infected_vs_Non_Infected
ENSMUSG00000001029	Icam2	0.18320491846200632	1	0.6804862628795731	Infected_vs_Non_Infected
ENSMUSG00000001034	Mapk7	0.022779906439604498	1	0.877444014175368	Infected_vs_Non_Infected
ENSMUSG00000001036	Epn2	0.11932711615198482	1	0.4919512068120616	Infected_vs_Non_Infected
ENSMUSG00000001039	B9d1	-0.14280044481515805	1	0.7350276536567137	Infected_vs_Non_Infected
ENSMUSG00000001052	Sec24b	0.01644704586936938	0.9143300297013938	0.8729814913087215	Infected_vs_Non_Infected
ENSMUSG00000001053	N4bp3	0.12284035590029468	1	0.5771577249133015	Infected_vs_Non_Infected
ENSMUSG00000001054	Rmnd5b	-0.08680383899464102	1	0.5856133574879886	Infected_vs_Non_Infected
ENSMUSG00000001056	Nhp2	0.11538295933714238	1	0.4979443920491132	Infected_vs_Non_Infected
ENSMUSG00000001062	Vps9d1	0.024268821074408108	1	0.8955332708752203	Infected_vs_Non_Infected
ENSMUSG00000001065	Zfp276	-0.24363199871260607	0.75111730139315	0.1222898956884042	Infected_vs_Non_Infected
ENSMUSG00000001082	Mfsd10	-0.11289683133201249	1	0.7129621397448418	Infected_vs_Non_Infected
ENSMUSG00000001089	Luzp1	0.006946215641851587	0.9891532005796114	0.9496880873903611	Infected_vs_Non_Infected
ENSMUSG00000001098	Kctd10	0.06644947025268087	0.8729124572994054	0.6687543913751222	Infected_vs_Non_Infected
ENSMUSG00000001100	Poldip2	-0.014507547699505609	0.9918178564921649	0.9348281135868897	Infected_vs_Non_Infected
ENSMUSG00000001105	Ift20	-0.20725766582934466	0.3362790383261163	0.05154892218610914	Infected_vs_Non_Infected
ENSMUSG00000001119	Col6a1	0.01782850290251656	0.9002191576751222	0.892950611582429	Infected_vs_Non_Infected
ENSMUSG00000001120	Pcbp3	0.4166572316315258	1	0.1606580734847023	Infected_vs_Non_Infected
ENSMUSG00000001123	Lgals9	0.07904970239522482	0.8108706466439725	0.6164377395714316	Infected_vs_Non_Infected
ENSMUSG00000001127	Araf	0.05719648678687033	0.8883562118566072	0.6768557734608676	Infected_vs_Non_Infected
ENSMUSG00000001128	Cfp	0.39601866052708407	1	0.4647119080935129	Infected_vs_Non_Infected
ENSMUSG00000001131	Timp1	-0.060434001756275446	1	0.9231793598208851	Infected_vs_Non_Infected
ENSMUSG00000001134	Uxt	0.36198377955064304	0.8745182760034463	0.11179769865619052	Infected_vs_Non_Infected
ENSMUSG00000001138	Cnnm3	0.054478708127346856	1	0.7643696422144196	Infected_vs_Non_Infected
ENSMUSG00000001143	Lman2l	-0.05982633674027136	1	0.7339087639195538	Infected_vs_Non_Infected
ENSMUSG00000001150	Mcm3ap	-0.10131593932124348	0.746226136746769	0.3850516075910547	Infected_vs_Non_Infected
ENSMUSG00000001151	Pcnt	-0.17243596487834406	0.35690319062291914	0.06701364284691731	Infected_vs_Non_Infected
ENSMUSG00000001155	Ftcd	-0.5328507307188192	1	0.87371418984163	Infected_vs_Non_Infected
ENSMUSG00000001156	Mxd1	-0.29441451885199843	0.5327474352866992	0.20296082303386906	Infected_vs_Non_Infected
ENSMUSG00000001157	Gmcl1	-0.1396187907805761	0.921445915720204	0.2846009528164255	Infected_vs_Non_Infected
ENSMUSG00000001158	Snrnp27	-0.335346465903161	0.0533040084974194	0.0014101388998520765	Infected_vs_Non_Infected
ENSMUSG00000001166	Oas1c	1.1632569044841152	0.14675117284972689	4.4022546091312037e-4	Infected_vs_Non_Infected
ENSMUSG00000001173	Ocrl	0.03852088833834897	1	0.8052321408035563	Infected_vs_Non_Infected
ENSMUSG00000001175	Calm1	-0.12815437301651378	0.7208979205373548	0.33085935855691717	Infected_vs_Non_Infected
ENSMUSG00000001211	Agpat3	0.019419055899265167	0.9970942387512663	0.8887277828438026	Infected_vs_Non_Infected
ENSMUSG00000001225	Slc26a3	1.4771318785997833	1	0.5049977559862342	Infected_vs_Non_Infected
ENSMUSG00000001227	Sema6b	0.0020414952292491808	1	0.9952428367031241	Infected_vs_Non_Infected
ENSMUSG00000001228	Uhrf1	0.28909333301059	1	0.5711921689615267	Infected_vs_Non_Infected
ENSMUSG00000001229	Dpp9	-0.1497990497691062	0.42179985234543754	0.08095319641028763	Infected_vs_Non_Infected
ENSMUSG00000001240	Ramp2	-0.1472945424447059	1	0.5452494228735489	Infected_vs_Non_Infected
ENSMUSG00000001247	Lsr	-0.14188247087066294	0.5600136694045527	0.22787809180772672	Infected_vs_Non_Infected
ENSMUSG00000001248	Gramd1a	-0.11096778354762367	1	0.6995517864950431	Infected_vs_Non_Infected
ENSMUSG00000001249	Hpn	0.048354567338583426	1	0.9214613112683679	Infected_vs_Non_Infected
ENSMUSG00000001270	Ckb	0.02184544087896956	1	0.9663729380821648	Infected_vs_Non_Infected
ENSMUSG00000001280	Sp1	-0.015060588504883633	0.9037511325436324	0.9015687002740477	Infected_vs_Non_Infected
ENSMUSG00000001281	Itgb7	0.06236757741741685	1	0.8644959995360756	Infected_vs_Non_Infected
ENSMUSG00000001285	Myg1	-0.16738883995514012	0.8682925599691184	0.1965666759628796	Infected_vs_Non_Infected
ENSMUSG00000001288	Rarg	0.15512274399678613	0.9743452108040067	0.32929682894727635	Infected_vs_Non_Infected
ENSMUSG00000001289	Pfdn5	-0.2044485952690729	0.17332509690803272	0.012621361765215156	Infected_vs_Non_Infected
ENSMUSG00000001300	Efnb2	0.3501749743845005	0.38225380701984546	0.06796948603697672	Infected_vs_Non_Infected
ENSMUSG00000001305	Rrp15	-0.20536286455864528	1	0.4780622428457576	Infected_vs_Non_Infected
ENSMUSG00000001313	Rnd2	-0.5445550400337598	0.605471689118384	0.059367019586691966	Infected_vs_Non_Infected
ENSMUSG00000001323	Srr	-0.10885434640945307	0.9235731399514954	0.4480153098364487	Infected_vs_Non_Infected
ENSMUSG00000001333	Sync	0.6709299434884447	1	0.18894865899093363	Infected_vs_Non_Infected
ENSMUSG00000001334	Fndc5	0.09953505744498428	1	0.8797284011321282	Infected_vs_Non_Infected
ENSMUSG00000001348	Acp5	0.05294273239797505	0.8773005098608404	0.6582657401705982	Infected_vs_Non_Infected
ENSMUSG00000001349	Cnn1	-0.359779223054195	0.7838278178590082	0.20057738316272708	Infected_vs_Non_Infected
ENSMUSG00000001366	Fbxo9	-0.1994688831751384	0.3525850799565654	0.07066879383801584	Infected_vs_Non_Infected
ENSMUSG00000001376	Ccdc132	-0.0031964369985839195	1	0.9735234231562113	Infected_vs_Non_Infected
ENSMUSG00000001380	Hars	-0.02155839903509094	0.9415639248475193	0.8415089342012256	Infected_vs_Non_Infected
ENSMUSG00000001383	Zmat2	-0.07049496135248141	0.8238937833221185	0.3627271506118221	Infected_vs_Non_Infected
ENSMUSG00000001403	Ube2c	0.21280166320101057	1	0.734396195245705	Infected_vs_Non_Infected
ENSMUSG00000001415	Smg5	-0.007741966237762227	0.9617393534812436	0.9240447328130572	Infected_vs_Non_Infected
ENSMUSG00000001416	Cct3	0.0391943871536391	0.8956325098690912	0.7425739610436652	Infected_vs_Non_Infected
ENSMUSG00000001418	Glmp	-0.08832973692499478	0.7211133943978261	0.5227887016261986	Infected_vs_Non_Infected
ENSMUSG00000001419	Mef2d	0.1458874331656961	0.5847236903112509	0.24475146412012722	Infected_vs_Non_Infected
ENSMUSG00000001420	Tmem79	-0.23919085790252637	0.6416935985329094	0.23070962662175856	Infected_vs_Non_Infected
ENSMUSG00000001424	Snd1	0.1716734811101008	0.4034684997326129	0.07763180385658683	Infected_vs_Non_Infected
ENSMUSG00000001435	Col18a1	0.17904058657743763	0.6390332493765318	0.2823789351169975	Infected_vs_Non_Infected
ENSMUSG00000001436	Slc19a1	-0.07712278919946781	1	0.8431873361007735	Infected_vs_Non_Infected
ENSMUSG00000001440	Kpnb1	0.012862644248409317	0.8915959539235286	0.8978420499935937	Infected_vs_Non_Infected
ENSMUSG00000001441	Npepps	-0.0866832818308386	0.8156839157505944	0.5106289163588326	Infected_vs_Non_Infected
ENSMUSG00000001444	Tbx21	0.9919565722658094	1	0.35053999075186354	Infected_vs_Non_Infected
ENSMUSG00000001445	Mrpl10	0.0375829050261398	0.9125212499310702	0.7465174233781373	Infected_vs_Non_Infected
ENSMUSG00000001467	Cyp51	0.18228109624622804	0.5035551487995699	0.16999263840056306	Infected_vs_Non_Infected
ENSMUSG00000001472	Tcf25	-0.13755222785171356	0.529541751181722	0.1485946143524668	Infected_vs_Non_Infected
ENSMUSG00000001473	Tubb6	0.37651182765836766	1	0.1775548671858214	Infected_vs_Non_Infected
ENSMUSG00000001482	Def8	-0.13759727526419288	1	0.7098391518903964	Infected_vs_Non_Infected
ENSMUSG00000001493	Meox1	0.37706474146264296	0.8336736695342417	0.13812063190205875	Infected_vs_Non_Infected
ENSMUSG00000001497	Pax9	0.9156034870768857	1	0.46513707959021305	Infected_vs_Non_Infected
ENSMUSG00000001504	Irx2	1.1246529510981518	1	0.27493222098932424	Infected_vs_Non_Infected
ENSMUSG00000001506	Col1a1	0.09144448717498986	0.8366768306306533	0.5831853764687827	Infected_vs_Non_Infected
ENSMUSG00000001507	Itga3	0.06611220753400406	0.795171923119513	0.4701324454603732	Infected_vs_Non_Infected
ENSMUSG00000001510	Dlx3	-2.1556830305578947	1	0.272947555663699	Infected_vs_Non_Infected
ENSMUSG00000001517	Foxm1	0.6358543987430364	1	0.21011040642034667	Infected_vs_Non_Infected
ENSMUSG00000001518	Itfg2	-0.008067991428517636	1	0.9673447469906444	Infected_vs_Non_Infected
ENSMUSG00000001520	Nrip2	0.18848868232687532	1	0.9551635720284315	Infected_vs_Non_Infected
ENSMUSG00000001521	Tulp3	-0.29089480195493117	1	0.30156605336180914	Infected_vs_Non_Infected
