name	description	database	size	setRank	pSetRank	correctedPValue	adjustedPValue
R-MMU-983168	Mus musculus: Antigen processing: Ubiquitination & Proteasome degradation	Reactome	290	0.00730581426864317	1	3.64876731900359e-05	3.29453001412488e-24
R-MMU-9013408	Mus musculus: RHOG GTPase cycle	Reactome	70	0.00253429667906962	1	5.06752550300517e-05	3.29453001412488e-24
R-MMU-5633007	Mus musculus: Regulation of TP53 Activity	Reactome	155	0.00257855899761487	1	6.71902894280423e-05	3.29453001412488e-24
mmu05161	Hepatitis B - Mus musculus (house mouse)	KEGG	148	0.00349937457161713	1	8.02862601039745e-05	3.29453001412488e-24
R-MMU-917729	Mus musculus: Endosomal Sorting Complex Required For Transport (ESCRT)	Reactome	30	0.00202666377222903	1	8.08111786716259e-05	3.29453001412488e-24
R-MMU-9006936	Mus musculus: Signaling by TGFB family members	Reactome	116	0.00245221716718062	1	0.000124187343905116	3.29453001412488e-24
R-MMU-6807505	Mus musculus: RNA polymerase II transcribes snRNA genes	Reactome	73	0.00158659616439549	1	0.000143476259772535	3.29453001412488e-24
R-MMU-9007101	Mus musculus: Rab regulation of trafficking	Reactome	116	0.00232707064607479	1	0.000154023428270224	3.29453001412488e-24
R-MMU-5205685	Mus musculus: PINK1-PRKN Mediated Mitophagy	Reactome	33	0.00265135774531833	1	0.000159569775908212	3.29453001412488e-24
R-MMU-5218859	Mus musculus: Regulated Necrosis	Reactome	53	0.00253104854542104	1	0.000172591380273912	3.29453001412488e-24
R-MMU-9013405	Mus musculus: RHOD GTPase cycle	Reactome	50	0.00153836272129775	1	0.000185378795772971	3.29453001412488e-24
R-MMU-927802	Mus musculus: Nonsense-Mediated Decay (NMD)	Reactome	118	0.0073434080223496	1	0.000200249309409536	3.29453001412488e-24
R-MMU-432722	Mus musculus: Golgi Associated Vesicle Biogenesis	Reactome	55	0.00174191315987166	1	0.000238338548643519	3.29453001412488e-24
mmu05225	Hepatocellular carcinoma - Mus musculus (house mouse)	KEGG	165	0.00393109169783355	1	0.000246240463764903	3.29453001412488e-24
mmu04136	Autophagy - other - Mus musculus (house mouse)	KEGG	31	0.00162769326294094	1	0.000247401509859902	3.29453001412488e-24
R-MMU-9013422	Mus musculus: RHOBTB1 GTPase cycle	Reactome	22	0.00153836272129775	1	0.000289815899586032	3.29453001412488e-24
R-MMU-9706574	Mus musculus: RHOBTB GTPase Cycle	Reactome	35	0.00165971104547921	1	0.000289815899586032	3.29453001412488e-24
mmu04110	Cell cycle - Mus musculus (house mouse)	KEGG	156	0.00157442915683695	1	0.000354687176240292	3.29453001412488e-24
R-MMU-109606	Mus musculus: Intrinsic Pathway for Apoptosis	Reactome	39	0.00169875927043463	1	0.000433367773780656	3.29453001412488e-24
mmu05203	Viral carcinogenesis - Mus musculus (house mouse)	KEGG	208	0.00430753182918171	1	0.000583980847492643	3.29453001412488e-24
R-MMU-163210	Mus musculus: Formation of ATP by chemiosmotic coupling	Reactome	20	0.00153836272129775	1	0.000590596411505983	3.29453001412488e-24
R-MMU-6811440	Mus musculus: Retrograde transport at the Trans-Golgi-Network	Reactome	45	0.00153836272129775	1	0.00070560574960751	3.29453001412488e-24
mmu05145	Toxoplasmosis - Mus musculus (house mouse)	KEGG	103	0.0018025713243768	1	0.000807470164234806	3.29453001412488e-24
R-MMU-9856649	R-MMU-9856649	Reactome	25	0.00153836272129775	1	0.000894450099366692	3.29453001412488e-24
R-MMU-187037	Mus musculus: Signaling by NTRK1 (TRKA)	Reactome	62	0.00282280793579057	1	0.00095205014006927	3.29453001412488e-24
R-MMU-9861718	R-MMU-9861718	Reactome	33	0.00153836272129775	1	0.000980575101150185	3.29453001412488e-24
R-MMU-75153	Mus musculus: Apoptotic execution phase	Reactome	51	0.00160278438884568	1	0.00102567410133963	3.29453001412488e-24
R-MMU-112382	Mus musculus: Formation of RNA Pol II elongation complex	Reactome	55	0.00153836272129775	1	0.00104002190946307	3.29453001412488e-24
R-MMU-450408	Mus musculus: AUF1 (hnRNP D0) binds and destabilizes mRNA	Reactome	56	0.00250991898762531	1	0.00131172586183348	3.29453001412488e-24
mmu05215	Prostate cancer - Mus musculus (house mouse)	KEGG	95	0.00344680261425426	1	0.00134823362527202	3.29453001412488e-24
R-MMU-5419276	Mus musculus: Mitochondrial translation termination	Reactome	88	0.00153836272129775	1	0.0013638905206003	3.29453001412488e-24
R-MMU-5627123	Mus musculus: RHO GTPases activate PAKs	Reactome	22	0.00153836272129775	1	0.00182467710927197	3.29453001412488e-24
R-MMU-8878171	Mus musculus: Transcriptional regulation by RUNX1	Reactome	189	0.00464703019594287	1	0.00184637563917464	3.29453001412488e-24
R-MMU-199992	Mus musculus: trans-Golgi Network Vesicle Budding	Reactome	70	0.00288117530887973	1	0.00198271068378083	3.29453001412488e-24
R-MMU-9013149	Mus musculus: RAC1 GTPase cycle	Reactome	170	0.002745187172658	1	0.0021136387459191	3.29453001412488e-24
mmu05205	Proteoglycans in cancer - Mus musculus (house mouse)	KEGG	190	0.00334943289797166	1	0.0021382893760897	3.29453001412488e-24
mmu05134	Legionellosis - Mus musculus (house mouse)	KEGG	56	0.00153836272129775	1	0.00226411570760213	3.29453001412488e-24
R-MMU-177929	Mus musculus: Signaling by EGFR	Reactome	49	0.0018434077729132	1	0.00233915172721241	3.29453001412488e-24
R-MMU-9696264	Mus musculus: RND3 GTPase cycle	Reactome	40	0.00153836272129775	1	0.00237336136188331	3.29453001412488e-24
R-MMU-5696399	Mus musculus: Global Genome Nucleotide Excision Repair (GG-NER)	Reactome	82	0.00217785960548516	1	0.00242372968892581	3.29453001412488e-24
R-MMU-195253	Mus musculus: Degradation of beta-catenin by the destruction complex	Reactome	80	0.00528029165749715	1	0.0025061336896854	3.29453001412488e-24
R-MMU-8951664	Mus musculus: Neddylation	Reactome	220	0.00440379852351655	1	0.00254768018917995	3.29453001412488e-24
R-MMU-983170	Mus musculus: Antigen Presentation: Folding, assembly and peptide loading of class I MHC	Reactome	33	0.00162553896069786	1	0.00276150706792239	3.29453001412488e-24
R-MMU-9020702	Mus musculus: Interleukin-1 signaling	Reactome	104	0.00541475905287568	1	0.00296984987037426	3.29453001412488e-24
R-MMU-6804756	Mus musculus: Regulation of TP53 Activity through Phosphorylation	Reactome	91	0.00153836272129775	1	0.00297747248457142	3.29453001412488e-24
R-MMU-1266738	Mus musculus: Developmental Biology	Reactome	402	0.00513945843592051	1	0.00323024633209508	3.29453001412488e-24
mmu04211	Longevity regulating pathway - Mus musculus (house mouse)	KEGG	86	0.00162243285025561	1	0.00325289702220386	3.29453001412488e-24
R-MMU-5696395	Mus musculus: Formation of Incision Complex in GG-NER	Reactome	43	0.00171573848262305	1	0.00349651259161195	3.29453001412488e-24
R-MMU-6809371	Mus musculus: Formation of the cornified envelope	Reactome	54	0.00153836272129775	1	0.00357350438874722	3.29453001412488e-24
mmu05417	Lipid and atherosclerosis - Mus musculus (house mouse)	KEGG	190	0.00251655423312297	1	0.00410051243507681	3.29453001412488e-24
R-MMU-9013407	Mus musculus: RHOH GTPase cycle	Reactome	35	0.00153836272129775	1	0.00412992954407092	3.29453001412488e-24
R-MMU-909733	Mus musculus: Interferon alpha/beta signaling	Reactome	21	0.00158194966506786	1	0.00435501707690732	3.29453001412488e-24
R-MMU-9825892	R-MMU-9825892	Reactome	8	0.00153836272129775	1	0.00437250510923576	3.29453001412488e-24
R-MMU-913531	Mus musculus: Interferon Signaling	Reactome	124	0.00274461587238493	1	0.00454497359550836	3.29453001412488e-24
R-MMU-8948751	Mus musculus: Regulation of PTEN stability and activity	Reactome	69	0.00387307817193981	1	0.00579182792513932	3.29453001412488e-24
R-MMU-2559583	Mus musculus: Cellular Senescence	Reactome	147	0.00204633532211059	1	0.00591629797973577	3.29453001412488e-24
R-MMU-5673001	Mus musculus: RAF/MAP kinase cascade	Reactome	262	0.00275802154123231	1	0.00605401013312317	3.29453001412488e-24
mmu04621	NOD-like receptor signaling pathway - Mus musculus (house mouse)	KEGG	166	0.00153836272129775	1	0.00680866551280544	3.29453001412488e-24
R-MMU-6782135	Mus musculus: Dual incision in TC-NER	Reactome	64	0.00173253910343373	1	0.00699773240527483	3.29453001412488e-24
R-MMU-9707564	Mus musculus: Cytoprotection by HMOX1	Reactome	58	0.00158659616439549	1	0.00754262864279969	3.29453001412488e-24
R-MMU-6791226	Mus musculus: Major pathway of rRNA processing in the nucleolus and cytosol	Reactome	181	0.00153836272129775	1	0.00798387358659882	3.29453001412488e-24
mmu03082	ATP-dependent chromatin remodeling - Mus musculus (house mouse)	KEGG	117	0.00169303148791986	1	0.00801399014166691	3.29453001412488e-24
mmu04659	Th17 cell differentiation - Mus musculus (house mouse)	KEGG	97	0.00163018310816559	1	0.00811361485961331	3.29453001412488e-24
R-MMU-9006931	Mus musculus: Signaling by Nuclear Receptors	Reactome	201	0.00226980908695234	1	0.00888257048503631	3.29453001412488e-24
R-MMU-9670095	Mus musculus: Inhibition of DNA recombination at telomere	Reactome	56	0.00180849441596342	1	0.00902152293545554	3.29453001412488e-24
R-MMU-9730414	R-MMU-9730414	Reactome	39	0.00153836272129775	1	0.00904437134001588	3.29453001412488e-24
mmu04520	Adherens junction - Mus musculus (house mouse)	KEGG	88	0.00188321486067534	1	0.00910989504247199	3.29453001412488e-24
R-MMU-5696398	Mus musculus: Nucleotide Excision Repair	Reactome	109	0.00209002391318637	1	0.00943986430179799	3.29453001412488e-24
R-MMU-6782210	Mus musculus: Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome	63	0.00153836272129775	1	0.00943986430179799	3.29453001412488e-24
R-MMU-168164	Mus musculus: Toll Like Receptor 3 (TLR3) Cascade	Reactome	81	0.00248981273139706	1	0.00948193265439021	3.29453001412488e-24
R-MMU-983712	Mus musculus: Ion channel transport	Reactome	154	0.00157824310271401	1	0.00950286045111978	3.29453001412488e-24
R-MMU-9839383	R-MMU-9839383	Reactome	10	0.00153836272129775	1	0.00991612800694341	3.29453001412488e-24
mmu05152	Tuberculosis - Mus musculus (house mouse)	KEGG	153	0.00159521525665006	1	0.00998351866917616	3.29453001412488e-24
R-MMU-72163	Mus musculus: mRNA Splicing - Major Pathway	Reactome	198	0.00284597103440085	1	3.57828336818418e-17	5.00959671545785e-16
R-MMU-72203	Mus musculus: Processing of Capped Intron-Containing Pre-mRNA	Reactome	274	0.00153836272129775	1	0.00152862840674948	5.00959671545785e-16
mmu01212	Fatty acid metabolism - Mus musculus (house mouse)	KEGG	59	0.00153836272129775	1	4.28569094104349e-06	5.57139822335653e-05
R-MMU-8978868	Mus musculus: Fatty acid metabolism	Reactome	156	0.0021921668778493	1	4.28569094104349e-06	5.57139822335653e-05
R-MMU-9772755	Mus musculus: Formation of WDR5-containing histone-modifying complexes	Reactome	38	0.00153836272129775	1	2.14343545237419e-05	0.000257212254284902
mmu04070	Phosphatidylinositol signaling system - Mus musculus (house mouse)	KEGG	93	0.00153836272129775	1	5.95762595392208e-05	0.000655338854931429
R-MMU-191273	Mus musculus: Cholesterol biosynthesis	Reactome	27	0.00153836272129775	1	0.000599827197289173	0.00599827197289173
mmu04216	Ferroptosis - Mus musculus (house mouse)	KEGG	40	0.00153836272129775	1	0.000885651389717173	0.00797086250745455
mmu00232	Caffeine metabolism - Mus musculus (house mouse)	KEGG	3	0.00284597103440085	1	0.00119474313022694	0.00955794504181551
R-MMU-8851680	Mus musculus: Butyrophilin (BTN) family interactions	Reactome	6	0.00153836272129775	1	0.00119474313022694	0.00955794504181551
mmu00920	Sulfur metabolism - Mus musculus (house mouse)	KEGG	11	0.00284597103440085	1	0.00184154988775428	0.0128908492142799
R-MMU-1614517	Mus musculus: Sulfide oxidation to sulfate	Reactome	5	0.00153836272129775	1	0.00184154988775428	0.0128908492142799
R-MMU-433692	Mus musculus: Proton-coupled monocarboxylate transport	Reactome	5	0.00153836272129775	1	0.00248706606735505	0.0149223964041303
mmu00512	Mucin type O-glycan biosynthesis - Mus musculus (house mouse)	KEGG	29	0.00153836272129775	1	0.00496707347522476	0.0248353673761238
R-MMU-426496	Mus musculus: Post-transcriptional silencing by small RNAs	Reactome	7	0.00153836272129775	1	0.00568000941782981	0.0248353673761238
R-MMU-73942	Mus musculus: DNA Damage Reversal	Reactome	2	0.00153836272129775	1	0.00570349171204204	0.0248353673761238
R-MMU-425397	Mus musculus: Transport of vitamins, nucleosides, and related molecules	Reactome	31	0.00153836272129775	1	0.00635705207874095	0.0248353673761238
R-MMU-197264	Mus musculus: Nicotinamide salvaging	Reactome	17	0.00153836272129775	1	0.007591227571246	0.0248353673761238
